COMPLAINT ID,COMPLAINT TYPE,ADDRESS,STREET NUMBER FROM,STREET NUMBER TO,DIRECTION,STREET NAME,STREET TYPE,INSPECTOR,COMPLAINT DATE,COMPLAINT DETAIL,INSPECTION LOG,DATA SOURCE,Modified Date,LATITUDE,LONGITUDE,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards
600269922,AIR POLLUTION WORK ORDER,3217 W DIVERSEY AVE,3217,,W,DIVERSEY,AVE,3308,05/17/2017,AIR POLLUTION/ODORS/DUST,[INSPECTION LOG #: 3034774 17-MAY-17 09:30:00] CALLED THE ALDERMAN'S OFFICE TO GET MORE INFORMATION AND WAS TOLD THAT THE COMPLAINANT WAS ENTERED BY MISTAKE.,DEPT. OF PUBLIC HEALTH,05/22/2017,41.93191715976994,-87.7081590589254,POINT (-87.7081590589254 41.93191715976994),1,23,22535,72,12
600273277,AIR POLLUTION WORK ORDER,6739 S PARNELL AVE,6739,,S,PARNELL,AVE,11461,05/23/2017,VERY DUSTY DEMOLITION PROJECT AT ABOVE LOCATION. THEY ARE TAKING NO STEPS TO CONTROL DUST AND IT IS GETTING INTO THE COMPLAINANT WINDOWS OF HIS HOME.,"[INSPECTION LOG #: 3063643 23-MAY-17 10:30:00] I WAS ASKED TO INVESTIGATE A COMPLAINT OF DUST FROM A DEMOLITIONAT THIS LOCATION. AT THE TIME OF THE INSPECTION, THE BUILDING WAS COMPLETELY RAZED. THERE WAS A WORKER FROM MCDONAGH DEMOLITION ON SITE LEVELING THE PROPERTY WITH DIRT. THE FENCING WITH MESH WERE IN PLACE AND THERE WAS NO VISIBLE DUST FROM THE SITE. NO FURTHER INSPECTION IS NEEDED AT THIS SITE. ATTEMPTS TO CONTACT COMPLAINT WERE UNSUCCESSFUL.",DEPT. OF PUBLIC HEALTH,05/24/2017,41.771408153037086,-87.63854848640634,POINT (-87.63854848640634 41.771408153037086),11,66,21559,479,32
600279574,AIR POLLUTION WORK ORDER,1950 E 79TH ST,1950,,E,79TH,ST,29520,06/06/2017,SMOKE IS COMING FROM FACILITY INSIDE OF THE PHONE STORE INDOORS.,"[INSPECTION LOG #: 3155588 06-JUN-17 13:35:00] CDPH ENGINEER (BOB S.) CONDUCTED CITIZEN'S AIR POLLUTION COMPLAINT INVESTIGATION. UPON ARRIVAL - AREA WAS CANVASSED FROM E 79TH ST, THE ALLEY AND S. JEFFERY ST. THERE WAS A MARGINAL BBQ ODOR DETECTED AT THE ALLEY AND MARGINAL WHITE SMOKE DISCHARGED FROM THE ROOF. BOB CIRCLED THE AREA AND STOPPED AT THE ALLEY, OBSERVING THE VISIBLE STACK (SEE THE IMAGE). AT HE ALLEY BOB MET THE MANAGER - RICK B.MGR. BOTH GENTLEMAN MET BEFORE, WHEN BOB WAS INVESTIGATING FIRST COMPLAINT. RICK MENTIONED ABOUT A RECENT FIRE OF THE BUILDING AND ABOUT ROOF TO BE FIXED, AS WELL THESTRUCTURE REPAIR WHICH WILL START ON AUG 15, 2017. NEXT BOB AND RICK WALKED INSIDE THE KITCHEN (SEE IMAGES), WHERE BOB NOTICED THE COOKING HOOD WITH GREASE FILTERS EXHAUSTING THE BBQ WOOD CHIPS FIRED - GRILLING THE CHICKEN PIECES. THERE WAS SOME SMOKE ACCUMULATED INSIDE THE KITCHEN. BOB VERIFIED VALID LICENSE CERTIFICATE (IMAGED). RICK WAS ADVISED, THAT ONLY REASONABLE METHOD TO SUPPRESS THE SMOKE WOULD BE REDUCTION AMOUNT OF THE WOOD CHIPS USED TO MAINTAIN THE TEMPERATURE (350 F) AND ADDING THE FLAVOR TO THE GRILLED CHICKEN. ALSO BBQ UNIT WILL HAVE TO ADD GAS FIRED BURNERS (FOR NG OR PROPANE). AFTER MODIFICATIONS AND CONSTRUCTION REPAIRSTO THE STRUCTURE, PASSING DOB AND VENT INSPECTIONS THE BANANA LEAF RESTAURANT MUST APPLY FOR APCP FOR BBQ GRILL AND COOKING HOOD. AT EXISTING SITUATION APCP WOULD BE DENIED. DUE TO PARTIALLY ELIMINATETHE POTENTIAL SMOKE AND ODOR RICK AGREED TO MINIMIZE THE USAGE OF WOODEN CHIPS. CDPH WILL BE CALLED FOR THE RE-INSPECTION. NO NOV WAS ISSUED AT THIS TIME, YET. IF FACILITY WILL NOT COMPLY IN 90 DAYS CDPH ON BEHALF OF DOBMAY RECOMMEND TOCEASE THE OPERATION OF THIS BUSINESS. THIS CASE WAS ALSO FORWARDED TO DOB, TO EVALUATE THE SAFETY OF THE STRUCTURE AND AIR EXCHANGE.",DEPT. OF PUBLIC HEALTH,06/07/2017,41.75171138412448,-87.57638392110138,POINT (-87.57638392110138 41.75171138412448),24,39,22538,188,35
600282061,AIR POLLUTION WORK ORDER,10952 S MICHIGAN AVE,10952,,S,MICHIGAN,AVE,13776,06/09/2017,OPEN BURNING AT ABOVE LOCATION CAUSING STRONG CHEMICAL ODORS.,"[INSPECTION LOG #: 3169387 09-JUN-17 09:30:00] ANONYMOUS COMPLAINT RESPONSE DUE TO ?OPEN BURNING?. 

I FOUND THIS TO BE AN APPARENTLY CLOSED BUSINESS. THERE WERE NO SIGNS OF BURNING OR ANY OTHER ACTIVITY.

PHOTO A) BUILDING 

NOTHING FURTHER.",DEPT. OF PUBLIC HEALTH,06/09/2017,41.694688042592915,-87.62092998827042,POINT (-87.62092998827042 41.694688042592915),19,45,21861,237,43
600286926,ASBESTOS WORK ORDER,10801 S WESTERN AVE,10801,,S,WESTERN,AVE,11461,06/19/2017,REMOVING ASBESTOS THEY THROWING EVERY THING OUT THE 2ND FLOOR ALL THE WAY DOWN WESTERN.,[INSPECTION LOG #: 3325509 23-JUN-17 14:10:00] I WENT BACK TO THE SITE TO ASSURE THE FENCING WITH MESH WAS INSTALLED. AT THIS TIME A 8 FOOT FENCE WAS IN PLACE ON ALL SIDES. NO FURTHER INSPECTION WILL BE NEEDED UNLESS FOR TRIAL.,DEPT. OF PUBLIC HEALTH,06/20/2017,41.69724247611619,-87.68118193433443,POINT (-87.68118193433443 41.69724247611619),13,74,22212,380,42
600291189,AIR POLLUTION WORK ORDER,3334 N SOUTHPORT AVE,3334,,N,SOUTHPORT,AVE,,06/26/2017,DEMO BLDG. CAUSING DUST ALL OVER THE AREA.,[INSPECTION LOG #:   ],DEPT. OF PUBLIC HEALTH,06/27/2017,41.94261091789817,-87.66404204131028,POINT (-87.66404204131028 41.94261091789817),22,57,4449,678,25
600292519,AIR POLLUTION WORK ORDER,2946 W PERSHING RD,2946,,W,PERSHING,RD,,06/28/2017,CALLER STATED THAT NEIGHBOR IS SPRAYING SOME TYPE OF CHEMICAL CAUSING FUMES.,[INSPECTION LOG #:   ],DEPT. OF PUBLIC HEALTH,06/28/2017,41.82281025991439,-87.69896239696824,POINT (-87.69896239696824 41.82281025991439),56,55,22248,639,1
600292507,AIR POLLUTION WORK ORDER,1427 W GRAND AVE,1427,,W,GRAND,AVE,,06/28/2017,WORKERS LOADING TRASH CANS FULL OF DUSTY DEBRIS INTO DUMP TRUCK MAKING CLOUDS OF DUST.,[INSPECTION LOG #:   ],DEPT. OF PUBLIC HEALTH,06/28/2017,41.89090737838895,-87.66329248879059,POINT (-87.66329248879059 41.89090737838895),49,25,22620,485,41
600299955,AIR POLLUTION WORK ORDER,1626 S LAWNDALE AVE,1626,,S,LAWNDALE,AVE,,07/12/2017,"STRONG LIFE THREATENING ODORS OF SEWAGEAND SOOT ON NEARLY A DAILY BASIS FOR ALMOST 3 YEARS. THAT DISGUSTING POLLUTANT AND DEADLY ODOR HAS BEEN MORE PREVALENT ON CHICAGO'S WEST SIDE, NORTH LAWNDALE, LITTLE VILLAGE.",[INSPECTION LOG #:   ],DEPT. OF PUBLIC HEALTH,07/12/2017,41.85811656443492,-87.71780018195356,POINT (-87.71780018195356 41.85811656443492),57,30,21569,800,14
600315289,AIR POLLUTION WORK ORDER,9741 S BEVERLY AVE,9741,,S,BEVERLY,AVE,11461,08/07/2017,OWNER IS BURNING GARBAGE IN THE BACK YARD.,"[INSPECTION LOG #: 3634445 07-AUG-17 11:15:00] I WAS ASSIGNED THIS COMPLAINT TO INVESTIGATE A CONCERN THAT THE RESIDENT AT THIS ADDRESS WAS BURNING DEBRIS IN THEIR YARD. WHEN I ARRIVED AT THE LOCATION, I WITNESSED NO BURNING ACTIVITY AT THE PROPERTY. THE YARD IS A LARGE WOODED SITE AND THE WAS NO RESPONSE AT THE FRONT DOOR. LEFT MESSAGE WITH THE ALDERMAN OFFICE ON MY FINDINGS. NO FURTHER INSPECTION IS REQUIRED AT THIS TIME.",DEPT. OF PUBLIC HEALTH,08/08/2017,41.716591078164704,-87.66076968297935,POINT (-87.66076968297935 41.716591078164704),13,72,22212,592,13
600315357,AIR POLLUTION WORK ORDER,9818 S MUSKEGON AVE,9818,,S,MUSKEGON,AVE,29520,08/07/2017,SANDBLASTING AND PETROLEUM ODORS IN THE AREA.,[INSPECTION LOG #: 3634597 07-AUG-17 14:45:00] CDPH ENGINEER CONDUCTED CITIZEN'S AIR POLLUTION COMPLAINT INVESTIGATION. UPON ARRIVAL PROPERTY WAS CANVASSED FROM MUSKEGAN AND THE ALLEY. THERE WAS NO EVIDENCE OF ANY SANDBLASTING BEING CONDUCTED AT TIME OF INSPECTION OR BEFORE. NO PETROLEUM ODOR WAS EITHER DETECTED.NO NOV OR DN WAS ISSUED.,DEPT. OF PUBLIC HEALTH,08/08/2017,41.71669726311618,-87.55528161079155,POINT (-87.55528161079155 41.71669726311618),25,48,21202,526,47
600322265,AIR POLLUTION WORK ORDER,6050 W 51ST ST,6050,,W,51ST,ST,13776,08/18/2017,DUMPSTER IS LEAKING LIQUID ALSO CHECK FOR THE CONDITION OF THE AREA.,[INSPECTION LOG #: 3741130 21-AUG-17 11:00:00] I WENT TO INSPECT BUT HAD INCOMPLETE INFO SO RETURNED FOR COMPLETE INSPECTION ON THE NEXT DAY.,DEPT. OF PUBLIC HEALTH,08/22/2017,41.79993045984233,-87.77431390229893,POINT (-87.77431390229893 41.79993045984233),,,22268,,
600323050,AIR POLLUTION WORK ORDER,9600 S EXCHANGE AVE,9600,9698,S,EXCHANGE,AVE,29520,08/21/2017,STRONG CHEMICAL ODORS SMELL LIKE ROTTEN EGG.,[INSPECTION LOG #: 3734638 21-AUG-17 12:22:00] CDPH ENGINEER CONDUCTED AIR POLLUTION COMPLAINT INVESTIGATION. PRIOR TO ARRIVAL AREA WAS CANVASSED FROM 96TH ST ALONG EXCHANGE ST TO 97TH ST AND ALONG THE ALLEY. THERE WAS NO ODOR DETECTED AND ABSOLUTELY ONE DESCRIBED BY COMPLAINANT AS ROTTEN EGGS. NO POTENTIAL SOURCE WAS NOT LOCATED.,DEPT. OF PUBLIC HEALTH,08/21/2017,41.72083121338074,-87.55258127684424,POINT (-87.55258127684424 41.72083121338074),25,48,21202,526,47
600336104,AIR POLLUTION WORK ORDER,158 E 122ND PL,158,,E,122ND,PL,13776,09/13/2017,CALLER IS REPORTING THAT BUSINESS HAS ORANGE SMOKE COMING OUT OF SIDE VENTS SMELLS LIKE FUMES. COMPLAINANT LEFT PHONE NUMBER 312 256-1004 NO NAME.,"[INSPECTION LOG #: 3909970 13-SEP-17 14:30:00] ANONYMOUS COMPLAINT RESPONSE DUE TO ODORS (FUMES). 

THIS IS A HOUSE IN A RESIDENTIAL AREA. I FOUND NO ODORS OR ANYTHING PECULIAR IN THE AREA.

PHOTO A) HOUSE 

NOTHING FURTHER.",DEPT. OF PUBLIC HEALTH,09/13/2017,41.67182068683921,-87.61796484786925,POINT (-87.61796484786925 41.67182068683921),19,50,21861,504,43
600348457,ASBESTOS WORK ORDER,2528 N FAIRFIELD AVE,2528,,N,FAIRFIELD,AVE,11461,10/02/2017,DOING SIDING WORK ON BLDG. POSSIBLE ASBESTOS.,[INSPECTION LOG #: 4091336 02-OCT-17 12:20:00] I WENT TO THIS LOCATION TO INVESTIGATE A ANONYMOUS CONCERN OF WORK ON SIDING OF THE AT THIS PROPERTY. AT THE TIME OF THE INSPECTION THERE WAS NO WORKERS OR WORK AT THIS LOCATION. THE PROPERTY WAS SIDING WITH VINYL SIDING. NO FURTHER INSPECTION IS NEEDED FOR THIS CONCERN NO CONTACT INFORMATION FOR MORE DETAILS.,DEPT. OF PUBLIC HEALTH,10/04/2017,41.927477071454796,-87.6964308501129,POINT (-87.6964308501129 41.927477071454796),1,23,22535,468,41
600351617,AIR POLLUTION WORK ORDER,5701 S MASSASOIT AVE,5701,,S,MASSASOIT,AVE,13776,10/06/2017,WORKERS ARE GRADING THE PARKWAY CAUSING ODORS.,"[INSPECTION LOG #: 4110472 06-OCT-17 11:30:00] COMPLAINT RESPONSE DUE TO ODORS FROM ROAD SURFACING. UPON ARRIVAL I NOTED THIS TO BE A RESIDENTIAL AREA ?NO WORK WAS BEING DONE, NO UNUSUAL ODORS WERE NOTED. 

PHOTO A) INTERSECTION AT PROVIDED ADDRESS",DEPT. OF PUBLIC HEALTH,10/06/2017,41.78890928998752,-87.76567311293338,POINT (-87.76567311293338 41.78890928998752),7,53,22268,590,6
600353363,AIR POLLUTION WORK ORDER,12600 S SAGINAW AVE,12600,12698,S,SAGINAW,AVE,13776,10/10/2017,"CSR# 17-06791474 STRONG SMELL OF GAS 6PM, AND OPEN BURNING.","[INSPECTION LOG #: 4164919 13-OCT-17 12:30:00] COMPLAINT RESPONSE DUE TO OPEN BURNING AND (GAS) ODORS. UPON ARRIVAL I NOTED THIS TO BE A RESIDENTIAL AREA. I DID NOT NOTE ANY BURNING OR GAS ODORS. 

PHOTO A) INTERSECTION AT PROVIDED ADDRESS

I INFORMED THE ALDERMAN?S OFFICE OF THESE FINDINGS.

NOTHING FURTHER.",DEPT. OF PUBLIC HEALTH,10/13/2017,41.66596821962056,-87.55819087895136,POINT (-87.55819087895136 41.66596821962056),26,52,22250,586,47
600359708,AIR POLLUTION WORK ORDER,1000 W IRVING PARK RD,1000,,W,IRVING PARK,RD,,10/20/2017,SANDBLASTING THE BUILDING DUST IS FLYING ALL OVER THE SIDEWALK AND CARS.,[INSPECTION LOG #:   ],DEPT. OF PUBLIC HEALTH,10/20/2017,41.95459692205282,-87.65462724739906,POINT (-87.65462724739906 41.95459692205282),53,31,21186,577,39
600360623,AIR POLLUTION WORK ORDER,3809 W POLK ST,3809,,W,POLK,ST,379542,10/23/2017,HORRIBLE CHEMICAL ODORS COMING FROM INSIDE BLDG. UNIT 2.,"[INSPECTION LOG #: 4235957 23-OCT-17 12:20:00] ON OCTOBER 23, 2017 CITY OF CHICAGO DEPARTMENT OF PUBLIC HEALTH INSPECTORS TIFFANY WILLIAMS AND JOHN SINGLER RESPONDED TO AN ANONYMOUS COMPLAINT OF ODORS FROM UNIT #2, 3809 W. POLK, CHICAGO, IL. THE INSPECTORS ENTERED THE UNLOCKED HALLWAY AND PROCEEDED TO INSPECT THE HALL WHERE AN OLD GASOLINE CAN AND BICYCLE TIRES WERE LOCATED. THE TIRES AND GASOLINE CAN EMITTED NO ODORS. SOME CARPET FRESHENER ON THE HALLWAY FLOOR AND AN AIR FRESHER WERE THE ONLY NOTED ODORS AT THE TIME OF THE INSPECTION. A TELEPHONE CALL WAS PLACED TO T.H.E. MANAGEMENT 773-525-5326 AND AN INDIVIDUAL WHO STATED HE WAS THE PROPERTY MANAGER STATED THAT THE BUILDING IS ALL CONDOMINIUMS AND THAT HE WOULD PRESENT THE COMPLAINT TO THE CONDO BOARD. THIS ANONYMOUS INSPECTION IS CLOSED.",DEPT. OF PUBLIC HEALTH,10/23/2017,41.870665481214225,-87.72070315664463,POINT (-87.72070315664463 41.870665481214225),30,27,21572,702,14
600363488,AIR POLLUTION WORK ORDER,4600 W LAWRENCE AVE,4600,,W,LAWRENCE,AVE,16295,10/27/2017,VERY STRONG PAINT ODORS COMING FROM FACILITY.,"[INSPECTION LOG #: 4329790 27-OCT-17 16:38:00] I RESPONDED TO A COMPLAINT CONCERNING AN ALLEGED STRONG PAINT ODOR COMING FROM THE FACILITY LOCATED AT 4600 W LAWRENCE UPON ARRIVAL I ROLLED DOWN 2 WINDOWS OF MY VEHICLE AND PATROLLED AROUND THE ADJACENT NEIGHBORING AREAS BESIDES NO STRONG PAINT ODORS WERE OBSERVED.

I PROCEEDED TO THE OFFICE AND INTRODUCED MYSELF; LIKEWISE I STATED THE PURPOSE OF MY VISIT AND REQUESTED A JOINT WALKTHROUGH OF THE FACILITY WITH THE MANAGER.

AT THE TIME OF INSPECTION THERE WAS NO SPRAY PAINTING IN THE BOOTH OR ANYWHERE ELSE, THE FILTERS WERE EXAMINED AND FOUND TO BE FAIRLY NEW AND NO STRONG PAINT ODORS WERE NOTICED. 

BESIDES FACILITY USES WATER BORN PAINT WITH LITTLE OR NO ODORS FOR ITS AUTO BODY REFINISHING PROCESS. 

EVEN THOUGH FACILITY WAS ISSUED A NOTICE OF CODE VIOLATION, BUT IT WAS ON AN UNRELATED ISSUE.",DEPT. OF PUBLIC HEALTH,11/03/2017,41.96819244072829,-87.7428957840173,POINT (-87.7428957840173 41.96819244072829),48,14,21869,751,38
600372100,AIR POLLUTION WORK ORDER,4040 N SHERIDAN RD,4040,,N,SHERIDAN,RD,10937,11/13/2017,CSR# 17-07608763 FOUL ODOR INDOORS THAT IS MAKING RESIDENTS ILL.,"[INSPECTION LOG #: 4401520 13-NOV-17 12:04:00] 4040 N. SHERIDAN

IN RESPONSE TO A COMPLAINT, I ARRIVED TO THE SITE AND CANVASSED FOR ODORS. NO UNUSUAL ODORS WERE DETECTED DURING MY CANVASSOF THE AREA. I INTERVIEWED THE BUILDING ENGINEER AND MANAGER REGARDING THE COMPLAINT. ACCORDING TO THE BUILDING ENGINEER, RESIDENTS ARE COMPLAINING ABOUT ODORS FROM ONE OF THE APARTMENTSINSIDE THE BUILDING. MANAGEMENT IS AWARE OF THE PROBLEM AND IS WORKING TO RECTIFY THE ISSUE. NO FURTHER ACTION IS REQUIRED AT THIS TIME.",DEPT. OF PUBLIC HEALTH,11/13/2017,41.95568501727633,-87.65472512810643,POINT (-87.65472512810643 41.95568501727633),53,31,21186,577,39
